company,deal_date,round_type,amount_usd_millions,pre_money_valuation_millions,post_money_valuation_millions,lead_investors,other_investors,sector,subsector,hq_city,hq_country,founded_year,ceo,employees_approx,annual_revenue_millions,profitable,ipo_status,key_products,open_source,source,year,quarter,month,deal_size_tier,is_us_company,stage_number
DeepMind,2014-01-26,Acquisition,500,,,Google (acquirer),N/A,Foundation Model / Research,AI Research Lab,London,United Kingdom,2010,Demis Hassabis,400,,False,Acquired by Google,"AlphaFold, Gemini, AlphaGo",True,"The Information, Google",2014,1,1,Large ($500M+),False,0
OpenAI,2019-07-22,Strategic Investment,1000,,,Microsoft,None disclosed,Foundation Model / LLM,General-Purpose AI,San Francisco,United States,2015,Sam Altman,120,,False,Private,"GPT-2, OpenAI Five",True,Microsoft blog,2019,3,7,Unicorn ($1B+),True,8
Palantir,2020-09-30,Direct Listing,0,,15800.0,Public Market (NYSE),N/A,AI Application,Data Analytics / Defense AI,Denver,United States,2003,Alex Karp,2400,1093.0,True,Public (NYSE: PLTR),"Foundry, Gotham, AIP",False,SEC filing,2020,3,9,Early (<$100M),True,10
UiPath,2021-04-21,IPO,1340,,35800.0,Public Market (NYSE),"Morgan Stanley, JPMorgan, BofA",AI Application,Robotic Process Automation,New York,United States,2005,Daniel Dines,4000,892.0,False,Public (NYSE: PATH),"UiPath Platform, AI Center",False,SEC S-1 filing,2021,2,4,Unicorn ($1B+),True,10
SenseTime,2021-12-20,IPO,740,,16800.0,Public Market (HKEX),"Cornerstone: CITIC, CICC, HAO Capital",AI Application,Computer Vision / Smart City,Hong Kong,China,2014,Xu Li,6000,700.0,False,Public (HKEX: 0020),"SenseCore, facial recognition, autonomous driving",False,HKEX filings,2021,4,12,Large ($500M+),False,10
OpenAI,2022-04-01,Series D,300,19700.0,20000.0,"Tiger Global, a16z","Sequoia Capital, Bedrock",Foundation Model / LLM,General-Purpose AI,San Francisco,United States,2015,Sam Altman,375,36.0,False,Private,"GPT-3, DALL-E 2, Codex",False,"WSJ, PitchBook",2022,2,4,Growth ($100M+),True,5
Adept AI,2022-04-26,Series A,65,935.0,1000.0,Greylock Partners,"Addition, Atlassian Ventures",AI Application,AI Agent / Action Models,San Francisco,United States,2022,David Luan,40,,False,Acqui-hired by Amazon 2024,ACT-1 action model,False,"TechCrunch, The Information",2022,2,4,Early (<$100M),True,2
Stability AI,2022-10-17,Seed,101,900.0,1000.0,"Lightspeed, Coatue",O'Shaughnessy Ventures,Foundation Model / Image Gen,Image Generation,London,United Kingdom,2019,Emad Mostaque (resigned 2024),150,11.0,False,Private (struggling),Stable Diffusion,True,"Bloomberg, TechCrunch",2022,4,10,Growth ($100M+),False,1
OpenAI,2023-01-23,Strategic Investment,10000,19000.0,29000.0,Microsoft,None disclosed,Foundation Model / LLM,General-Purpose AI,San Francisco,United States,2015,Sam Altman,770,1600.0,False,Private,"ChatGPT, GPT-4, DALL-E 2",False,"Microsoft blog, WSJ",2023,1,1,Mega ($10B+),True,8
Cohere,2023-06-08,Series C,270,1930.0,2200.0,Inovia Capital,"Nvidia, Oracle, Salesforce Ventures, Index Ventures",Foundation Model / LLM,Enterprise AI,Toronto,Canada,2019,Aidan Gomez,450,35.0,False,Private,"Command, Embed, Rerank",True,TechCrunch,2023,2,6,Growth ($100M+),False,4
Inflection AI,2023-06-29,Series B,1300,2700.0,4000.0,"Microsoft, Nvidia, Reid Hoffman","Bill Gates, Eric Schmidt, Greylock",Foundation Model / LLM,Personal AI Assistant,Palo Alto,United States,2022,Mustafa Suleyman (left for Microsoft),200,,False,Effectively Acquired by Microsoft,Pi personal AI (wound down),False,"NYT, Bloomberg",2023,2,6,Unicorn ($1B+),True,3
Hugging Face,2023-08-24,Series D,235,4265.0,4500.0,"Google, Amazon, Nvidia","Salesforce, AMD, Intel, IBM, Qualcomm",AI Infrastructure,Open Source AI Platform,New York,United States,2016,Clem Delangue,250,70.0,False,Private,"Hugging Face Hub, Transformers, Inference API",True,"TechCrunch, Hugging Face blog",2023,3,8,Growth ($100M+),True,5
Anthropic,2023-09-25,Strategic Investment,4000,,,Amazon,None disclosed,Foundation Model / LLM,AI Safety Research,San Francisco,United States,2021,Dario Amodei,500,200.0,False,Private,"Claude 2, Claude API",False,"Amazon press release, WSJ",2023,3,9,Unicorn ($1B+),True,8
Figure AI,2024-02-29,Series B,675,2000.0,2600.0,"Microsoft, Nvidia, OpenAI Startup Fund","Jeff Bezos, Intel, Samsung, Parkway Venture Capital",AI Application,Humanoid Robotics,Sunnyvale,United States,2022,Brett Adcock,700,,False,Private,"Figure 01, Figure 02 humanoid robots",False,"Bloomberg, TechCrunch",2024,1,2,Large ($500M+),True,3
Anthropic,2024-03-01,Series D,2750,15250.0,18400.0,Menlo Ventures,"Google, Spark Capital, Salesforce Ventures",Foundation Model / LLM,AI Safety Research,San Francisco,United States,2021,Dario Amodei,1000,850.0,False,Private,"Claude 3, Claude API",False,"TechCrunch, SEC filing",2024,1,3,Unicorn ($1B+),True,5
Wayve,2024-05-07,Series C,1050,,,SoftBank Vision Fund,"Nvidia, Microsoft, Eclipse Ventures",AI Application,Autonomous Driving,London,United Kingdom,2017,Alex Kendall,350,,False,Private,"LINGO-2, AI driving platform",False,"TechCrunch, Financial Times",2024,2,5,Unicorn ($1B+),False,4
Mistral AI,2024-06-11,Series B,640,5400.0,6000.0,General Catalyst,"a16z, Lightspeed, BNP Paribas, Samsung",Foundation Model / LLM,Open-Weight AI Models,Paris,France,2023,Arthur Mensch,400,80.0,False,Private,"Mistral Large, Mixtral, Le Chat",True,"TechCrunch, Les Echos",2024,2,6,Large ($500M+),False,3
Databricks,2024-09-19,Series I,10000,52000.0,62000.0,Thrive Capital,"a16z, DST Global, GIC, Iconiq",AI Infrastructure,Data Platform / ML Infrastructure,San Francisco,United States,2013,Ali Ghodsi,6000,2400.0,False,Private,"Databricks Lakehouse, Mosaic ML",True,Bloomberg,2024,3,9,Mega ($10B+),True,9
OpenAI,2024-10-02,Series E,6600,150000.0,157000.0,Thrive Capital,"Microsoft, Nvidia, SoftBank, Khosla Ventures, Tiger Global",Foundation Model / LLM,General-Purpose AI,San Francisco,United States,2015,Sam Altman,3000,5400.0,False,Private,"ChatGPT, GPT-4, DALL-E 3, Sora",False,"SEC filing, TechCrunch",2024,4,10,Unicorn ($1B+),True,6
CoreWeave,2024-11-21,Series C,650,22350.0,23000.0,Jane Street Capital,"Fidelity, Coatue, Magnetar",AI Infrastructure,GPU Cloud Computing,Roseland,United States,2017,Michael Intrator,1300,1900.0,False,IPO March 2025 (CRWV),"GPU cloud, AI training clusters",False,"Bloomberg, Crunchbase",2024,4,11,Large ($500M+),True,4
xAI,2024-12-23,Series C,6000,39000.0,45000.0,Various (undisclosed),"Nvidia, A-Cap, Valor Equity Partners",Foundation Model / LLM,General-Purpose AI,Palo Alto,United States,2023,Elon Musk,400,,False,Private,"Grok 2, Colossus",True,"Bloomberg, SEC filing",2024,4,12,Unicorn ($1B+),True,4
Mistral AI,2025-01-27,Series C,2000,13500.0,15500.0,"General Catalyst, Bpifrance","a16z, Lightspeed, Samsung, IBM",Foundation Model / LLM,Open-Weight AI Models,Paris,France,2023,Arthur Mensch,700,300.0,False,Private,"Mistral Large 2, Codestral, Le Chat",True,"TechCrunch, Les Echos",2025,1,1,Unicorn ($1B+),False,4
Lambda,2025-02-19,Series D,480,2000.0,2500.0,"SGW, Andra Capital","Nvidia, G Squared, ARK Invest",AI Infrastructure,GPU Cloud Computing,San Francisco,United States,2012,Stephen Balaban,400,500.0,True,Private,"Lambda Cloud, GPU clusters",False,TechCrunch,2025,1,2,Growth ($100M+),True,5
Together AI,2025-02-20,Series B,305,3000.0,3300.0,"Prosperity7, General Catalyst","Salesforce Ventures, Nvidia, Lux Capital",AI Infrastructure,Open Source AI Platform,San Francisco,United States,2022,Vipul Ved Prakash,200,100.0,False,Private,"Together Inference, Together Fine-Tuning",True,TechCrunch,2025,1,2,Growth ($100M+),True,3
Anthropic,2025-03-03,Series E Extension,3500,58000.0,61500.0,Lightspeed Venture Partners,"Salesforce Ventures, Menlo Ventures, General Catalyst",Foundation Model / LLM,AI Safety Research,San Francisco,United States,2021,Dario Amodei,1400,2800.0,False,Private,"Claude, Claude API",False,TechCrunch,2025,1,3,Unicorn ($1B+),True,6
Safe Superintelligence (SSI),2025-04-01,Series A,2000,30000.0,32000.0,Greenoaks Capital Partners,"a16z, Sequoia, DST Global",Foundation Model / LLM,AI Safety Research,Palo Alto,United States,2024,Ilya Sutskever,30,,False,Private,Safe superintelligence (stealth),False,"Bloomberg, Crunchbase",2025,2,4,Unicorn ($1B+),True,2
OpenAI,2025-04-02,Series F,40000,260000.0,300000.0,SoftBank,"Microsoft, Coatue, Thrive Capital",Foundation Model / LLM,General-Purpose AI,San Francisco,United States,2015,Sam Altman,3700,11600.0,False,Private (IPO rumored),"ChatGPT, GPT-4o, DALL-E, Sora",False,"CNBC, Reuters, Crunchbase",2025,2,4,Mega ($10B+),True,7
Perplexity AI,2025-05-01,Series E,500,17500.0,18000.0,Accel,"IVP, Nvidia, Bezos Expeditions",AI Application,AI Search Engine,San Francisco,United States,2022,Aravind Srinivas,250,150.0,False,Private,"Perplexity Search, Perplexity Pro",False,"Forbes, TechCrunch",2025,2,5,Large ($500M+),True,6
Ambience Healthcare,2025-06-01,Series C,243,,,"Oak HC/FT, a16z","Kleiner Perkins, OpenAI Startup Fund",AI Application,Healthcare AI,San Francisco,United States,2020,Mike Ng,300,,False,Private,"AI medical documentation, clinical AI OS",False,TechCrunch,2025,2,6,Growth ($100M+),True,4
Scale AI,2025-06-15,Strategic Investment,14300,14700.0,29000.0,Meta (49% stake),None disclosed,AI Infrastructure,Data Labeling / Training Data,San Francisco,United States,2016,Alexandr Wang (moved to Meta),1200,1400.0,False,Private,"Data labeling, RLHF, AI infrastructure",False,"Bloomberg, TechCrunch",2025,2,6,Mega ($10B+),True,8
xAI,2025-07-15,Series C,10000,190000.0,200000.0,"Valor Capital, Qatar Investment Authority","Kingdom Holding (Prince Al Waleed), Nvidia",Foundation Model / LLM,General-Purpose AI,Palo Alto,United States,2023,Elon Musk,600,,False,Private,"Grok, Grok 4, Colossus supercomputer",True,Bloomberg (Musk disputes figures),2025,3,7,Mega ($10B+),True,4
Thinking Machines Lab,2025-07-15,Seed,2000,8000.0,10000.0,Andreessen Horowitz,"Nvidia, Accel, AMD, Cisco",Foundation Model / LLM,AI Research,San Francisco,United States,2024,Mira Murati,30,,False,Private,Foundation models (stealth),False,"Crunchbase, TechCrunch",2025,3,7,Unicorn ($1B+),True,1
Infinite Reality,2025-08-01,Growth Equity,3000,,,Private investor (undisclosed),None disclosed,AI Application,XR / Immersive AI,Orlando,United States,2019,Amish Shah,500,,False,Private,"XR, immersive commerce, AI media",False,Crunchbase,2025,3,8,Unicorn ($1B+),True,7
Anduril Industries,2025-08-15,Series F,2500,26500.0,29000.0,Founders Fund,"a16z, 8VC, General Catalyst, Lux Capital",AI Application,Defense AI,Costa Mesa,United States,2017,Palmer Luckey,4500,1000.0,False,Private,"Lattice, Ghost, ALTIUS, Menace",False,"TechCrunch, Reuters",2025,3,8,Unicorn ($1B+),True,7
Anthropic,2025-09-02,Series F,13000,170000.0,183000.0,"Iconiq Capital, Fidelity, Lightspeed","BlackRock, Blackstone, Coatue, Qatar Investment Authority",Foundation Model / LLM,AI Safety Research,San Francisco,United States,2021,Dario Amodei,1600,4000.0,False,Private,"Claude, Claude API, Constitutional AI",False,"TechCrunch, Crunchbase",2025,3,9,Mega ($10B+),True,7
Project Prometheus,2025-11-01,Seed / Launch,6200,,,Undisclosed,Jeff Bezos (co-CEO),AI for Physical World,Engineering / Manufacturing AI,San Francisco,United States,2025,"Jeff Bezos, Vik Bajaj",50,,False,Private,AI for physical economy,False,Crunchbase,2025,4,11,Unicorn ($1B+),True,1
Anysphere (Cursor),2025-11-13,Series C,2300,27000.0,29300.0,"Accel, Coatue","Thrive Capital, DST Global, Google, Nvidia",AI Application,AI Coding Assistant,San Francisco,United States,2022,Michael Truell,100,500.0,True,Private,Cursor AI IDE,False,"TechCrunch, Bloomberg",2025,4,11,Unicorn ($1B+),True,4
Databricks,2025-12-01,Series J,5000,129000.0,134000.0,Thrive Capital,"a16z, DST Global, Insight Partners",AI Infrastructure,Data Platform / ML Infrastructure,San Francisco,United States,2013,Ali Ghodsi,7000,3500.0,False,Private (IPO expected 2026),"Databricks Lakehouse, Mosaic ML, Unity Catalog",True,"Bloomberg, TechCrunch",2025,4,12,Unicorn ($1B+),True,10
